vin_1_10,county,state,model_year,make,ev_type,electric_range
JN1AZ0CPXC,BENTON,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP1C,CLARK,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP4C,CLARK,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP6C,ADAMS,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP2C,BENTON,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP9C,BENTON,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP3C,BENTON,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP0C,CLARK,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP8C,BENTON,WA,2012,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
1FAHP3R42C,ISLAND,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
1FAHP3R46C,KITSAP,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
1FAHP3R48C,KING,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
1FAHP3R41C,CLARK,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
1FAHP3R43C,CLARK,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
1FAHP3R47C,KITSAP,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
1FAHP3R4XC,KING,WA,2012,FORD,BATTERY ELECTRIC VEHICLE (BEV),76
2T3YL4DV7C,CLARK,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
2T3YL4DV1C,KING,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
2T3YL4DV8C,KING,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
2T3YL4DV3C,CLARK,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
2T3YL4DV6C,KING,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
2T3YL4DV4C,SAN JUAN,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
2T3YL4DV0C,KING,WA,2012,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),103
5YJSA1DP3C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN7C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP7C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP8C,ISLAND,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP9C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CNXC,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN6C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN8C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN8C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN0C,CLARK,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN6C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN5C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP3C,SNOHOMISH,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP0C,CLARK,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN2C,COWLITZ,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN1C,SPOKANE,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP8C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP7C,SNOHOMISH,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN0C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP0C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN3C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN4C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN3C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN4C,BENTON,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP2C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP1C,THURSTON,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP6C,PIERCE,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP9C,SNOHOMISH,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN9C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DNXC,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN1C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP5C,CLARK,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN5C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DPXC,DOUGLAS,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP1C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN9C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP5C,SPOKANE,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP6C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CP4C,BENTON,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DP4C,COWLITZ,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1DN2C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
5YJSA1CN7C,KING,WA,2012,TESLA,BATTERY ELECTRIC VEHICLE (BEV),265
JTDKN3DPXD,CLALLAM,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP7D,CLARK,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP1D,CLARK,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP2D,BENTON,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP0D,BENTON,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP9D,BENTON,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP5D,CLARK,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP6D,CLARK,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP8D,CLALLAM,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP3D,CLARK,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP4D,BENTON,WA,2013,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
3FA6P0SU9D,CLALLAM,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
1FADP5CU2D,GRAYS HARBOR,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
3FA6P0SU0D,KING,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
1FADP5CU4D,CLARK,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
3FA6P0PU6D,CLARK,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
3FA6P0PU1D,DOUGLAS,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
3FA6P0PU3D,BENTON,WA,2013,FORD,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),19
